Book_Name;book_id;guten_genre;Author_Name
The Baronet's Bride- A Woman's Vengeance;pg15317.epub;Literary;Fleming| May Agnes
Tracy Park: A Novel;pg15321.epub;Literary;Holmes| Mary Jane
The Lever: A Novel;pg15430.epub;Literary;Orcutt| William Dana
Trumps;pg15498.epub;Literary;Curtis| George William
Captivity;pg15527.epub;Literary;Eyles| Leonora
A Splendid Hazard;pg15671.epub;Literary;MacGrath| Harold
Far to Seek - A Romance of England and India;pg15704.epub;Literary;Diver| Maud
Bunker Bean;pg15743.epub;Literary;Wilson| Harry Leon
Ishmael- In the Depths;pg15774.epub;Literary;Southworth| Emma Dorothy Eliza Nevitte
An Unpardonable Liar;pg15793.epub;Literary;Parker| Gilbert
The Seeker;pg15797.epub;Literary;Wilson| Harry Leon
Walter Harland - Memories of the Past;pg15799.epub;Literary;Caswell| Harriet S.
Garman and Worse: A Norwegian Novel;pg15864.epub;Literary;Kielland| Alexander Lange
The Unseen Bridegroom- Wedded For a Week;pg15875.epub;Literary;Fleming| May Agnes
Allegories of Life;pg15895.epub;Allegories;Adams| Mrs. J. S.
His Excellency the Minister;pg15934.epub;Literary;Claretie| Jules
An Englishwoman's Love-Letters;pg15941.epub;Literary;Housman| Laurence
The Fatal Glove;pg15989.epub;Literary;Augusta| Clara
The Lost Lady of Lone;pg16039.epub;Literary;Southworth| Emma Dorothy Eliza Nevitte
Uncle Max;pg16080.epub;Literary;Carey| Rosa Nouchette
For Woman's Love;pg16094.epub;Literary;Southworth| Emma Dorothy Eliza Nevitte
The Hoyden;pg16137.epub;Literary;Duchess|
The Cromptons;pg16138.epub;Literary;Holmes| Mary Jane
A Man and a Woman;pg16143.epub;Literary;Waterloo| Stanley
Prince Fortunatus;pg16217.epub;Literary;Black| William
Jan: A Dog and a Romance;pg16252.epub;Literary;Dawson| A. J.
Idolatry: A Romance;pg16283.epub;Literary;Hawthorne| Julian
The Foolish Virgin;pg1634.epub;Literary;Dixon| Thomas
Ellen Walton - The Villain and His Victims;pg16345.epub;Literary;Addison| Alvin
The Summons;pg16381.epub;Literary;Mason| A. E. W.
What Necessity Knows;pg16398.epub;Literary;Dougall| L.
Led Astray and The Sphinx - Two Novellas In One Volume;pg16403.epub;Literary;Feuillet| Octave
The Measure of a Man;pg16453.epub;Literary;Barr| Amelia E.
The Moon out of Reach;pg16497.epub;Love and Romance;Pedler| Margaret
Foes;pg16554.epub;Literary;Johnston| Mary
The Twins - A Domestic Novel;pg16574.epub;Literary;Tupper| Martin Farquhar
The Lee Shore;pg16612.epub;Literary;Macaulay| Rose
Bad Hugh;pg16662.epub;Literary;Holmes| Mary Jane
Eveline Mandeville - The Horse Thief Rival;pg16676.epub;Literary;Addison| Alvin
Adrien Leroy;pg16682.epub;Literary;Garvice| Charles
A Comedy of Masks: A Novel;pg16703.epub;Literary;Dowson| Ernest Christopher| Moore| Arthur
The Husbands of Edith;pg16719.epub;Literary;McCutcheon| George Barr
Marzio's Crucifix and Zoroaster;pg16720.epub;Literary;Crawford| F. Marion
Mike Fletcher: A Novel;pg16730.epub;Literary;Moore| George Augustus
Jacqueline of Golden River;pg16771.epub;Literary;Egbert| H. M.
My Little Lady;pg16788.epub;Literary;Poynter| E. Frances
Elster's Folly: A Novel;pg16798.epub;Literary;Wood| Mrs. Henry
Dangerous Ages;pg16799.epub;Literary;Macaulay| Rose
Lydia of the Pines;pg16803.epub;Literary;Morrow| Honor
Mark Hurdlestone - The Two Brothers;pg16836.epub;Literary;Moodie| Susanna
The Halo;pg16909.epub;Literary;Hutten| Bettina Von
The Bradys and the Girl Smuggler Working for the Custom House;pg16919.epub;Detective and Mystery;Doughty| Francis Worcester
The Bad Man: A Novel;pg16968.epub;Literary;Browne| Porter Emerson| Towne| Charles Hanson
The Vanished Messenger;pg1699.epub;Detective and Mystery;Oppenheim| E. Phillips
Miss Dexie - A Romance of the Provinces;pg16993.epub;Literary;Eveleth| Stanford
The Half-Hearted;pg17047.epub;Sea and Adventure;Buchan| John
The Man and the Moment;pg17048.epub;Literary;Glyn| Elinor
The Crock of Gold - A Rural Novel;pg17062.epub;Literary;Tupper| Martin Farquhar
Guy Livingstone'Thorough';pg17084.epub;Literary;Lawrence| George A.
Destiny;pg17141.epub;Literary;Buck| Charles Neville
The Actress in High Life - An Episode in Winter Quarters;pg17191.epub;Literary;Bowen| Sue Petigru
Atlantis;pg17241.epub;Literary;Hauptmann| Gerhart
Sunrise;pg17308.epub;Literary;Black| William
Arms and the Woman;pg17359.epub;Love and Romance;MacGrath| Harold
Hearts and Masks;pg17390.epub;Literary;MacGrath| Harold
The Adventures of Kathlyn;pg17402.epub;Literary;MacGrath| Harold
The Thin Red Line; and Blue Blood;pg17434.epub;Literary;Griffiths| Arthur
The Second Honeymoon;pg17446.epub;Literary;Ayres| Ruby M.
The Red Seal;pg1747.epub;Literary;Lincoln| Natalie Sumner
Other People's Money;pg1748.epub;Detective and Mystery;Gaboriau| Emile
On the Church Steps;pg17559.epub;Literary;Hallowell| Sarah C.
By the Light of the Soul: A Novel;pg17564.epub;Literary;Freeman| Mary Eleanor Wilkins
Romance;pg17642.epub;Literary;Conrad| Joseph| Ford| Ford Madox
Bella Donna: A Novel;pg17698.epub;Literary;Hichens| Robert
The Courage of Marge O'Doone;pg17745.epub;Literary;Curwood| James Oliver
Foes in Ambush;pg17806.epub;Literary;King| Charles
Contrary Mary;pg17938.epub;Literary;Bailey| Temple
Betty at Fort Blizzard;pg18022.epub;Literary;Seawell| Molly Elliot
Medoline Selwyn's Work;pg18052.epub;Literary;Colter| Mrs. J. J.
The Zeit-Geist;pg18054.epub;Literary;Dougall| L.
Bucky O'Connor: A Tale of the Unfenced Border;pg1809.epub;Western Stories;Raine| William MacLeod
The Road to Mandalay - A Tale of Burma;pg18239.epub;Literary;Croker| B. M.
Gentle Julia;pg18259.epub;Literary;Tarkington| Booth
Enter Bridget;pg18280.epub;Literary;Cobb| Thomas
The Case of the Lamp That Went Out;pg1832.epub;Detective and Mystery;Groner| Auguste
The Case of the Registered Letter;pg1833.epub;Detective and Mystery;Groner| Auguste
The Lighted Match;pg18336.epub;Literary;Buck| Charles Neville
The Case of the Pocket Diary Found in the Snow;pg1834.epub;Detective and Mystery;Groner| Auguste
The Case of the Pool of Blood in the Pastor's Study;pg1835.epub;Detective and Mystery;Groner| Auguste
The Case of the Golden Bullet;pg1836.epub;Detective and Mystery;Groner| Auguste
A Melody in Silver;pg18434.epub;Literary;Abbott| Keene
Parrot & Co.;pg18443.epub;Literary;MacGrath| Harold
The Treasure of Heaven: A Romance of Riches;pg18449.epub;Literary;Corelli| Marie
The Vision Splendid;pg1846.epub;Western Stories;Raine| William MacLeod
The Place Beyond the Winds;pg18488.epub;Literary;Comstock| Harriet T.
A Court of Inquiry;pg18489.epub;Literary;Richmond| Grace S.
The Yellow Crayon;pg1849.epub;Detective and Mystery;Oppenheim| E. Phillips
The Woman in the Alcove;pg1851.epub;Detective and Mystery;Green| Anna Katharine
A Mummer's Tale;pg18545.epub;Literary;France| Anatole
Initials Only;pg1857.epub;Detective and Mystery;Green| Anna Katharine
The President: A Novel;pg18572.epub;Literary;Lewis| Alfred Henry
The Poor Plutocrats;pg18705.epub;Literary;Jkai| Mr
Dr. Dumany's Wife;pg18708.epub;Literary;Jkai| Mr
Painted Windows;pg1875.epub;Literary;Peattie| Elia Wilkinson
A Millionaire of Yesterday;pg1878.epub;Detective and Mystery;Oppenheim| E. Phillips
The House of Martha;pg18822.epub;Literary;Stockton| Frank Richard
Winner Take All;pg18829.epub;Literary;Evans| Larry
The Bittermeads Mystery;pg1888.epub;Detective and Mystery;Punshon| E. R.
Then I'll Come Back to You;pg18894.epub;Literary;Evans| Larry
The Seventh Man;pg1897.epub;Western Stories;Brand| Max
The Starbucks;pg18984.epub;Literary;Read| Opie Percival
Sword and Gown: A Novel;pg19121.epub;Literary;Lawrence| George A.
The House in the Mist;pg19147.epub;Detective and Mystery;Green| Anna Katharine
The Cow Puncher;pg19173.epub;Literary;Stead| Robert J. C.
Lady Larkspur;pg19204.epub;Literary;Nicholson| Meredith
The Alchemist's Secret;pg19224.epub;Literary;Williams| Isabel Cecilia
Joyce of the North Woods;pg19225.epub;Literary;Comstock| Harriet T.
Michael McGrath- Postmaster;pg19257.epub;Literary;Connor| Ralph
His Heart's Queen;pg19259.epub;Literary;Sheldon| Mrs. Georgie
Born Again;pg19459.epub;Literary;Lawson| Alfred W.
Branded;pg19472.epub;Western Stories;Lynde| Francis
North of Fifty-Three;pg19510.epub;Literary;Sinclair| Bertrand W.
Kate Danton- Captain Danton's Daughters: A Novel;pg19512.epub;Literary;Fleming| May Agnes
Sight Unseen;pg1960.epub;Detective and Mystery;Rinehart| Mary Roberts
The Confession;pg1963.epub;Detective and Mystery;Rinehart| Mary Roberts
Dixie Hart;pg19818.epub;Literary;Harben| Will N.
Heart - A Social Novel;pg20235.epub;Literary;Tupper| Martin Farquhar
A Political Romance;pg20257.epub;Literary;Sterne| Laurence
The Lovely Lady;pg20359.epub;Literary;Austin| Mary Hunter
A Son of the Hills;pg20424.epub;Literary;Comstock| Harriet T.
The Seventh Noon;pg20429.epub;Literary;Bartlett| Frederick Orin
The Triflers;pg20458.epub;Literary;Bartlett| Frederick Orin
Ernest Linwood- The Inner Life of the Author;pg20462.epub;Literary;Hentz| Caroline Lee
The Complete Prose Works of Martin Farquhar Tupper;pg20610.epub;Literary;Tupper| Martin Farquhar
The Master-Knot of Human Fate;pg20615.epub;Literary;Meredith| Ellis
The Romance of an Old Fool;pg20661.epub;Love and Romance;Field| Roswell Martin
The Monctons: A Novel. Volume 1 (of 2);pg20835.epub;Literary;Moodie| Susanna
In Apple-Blossom Time: A Fairy-Tale to Date;pg20901.epub;Love and Romance;Burnham| Clara Louise
Overdue: The Story of a Missing Ship;pg21067.epub;Sea and Adventure;Collingwood| Harry
The Ghost Ship: A Mystery of the Sea;pg21087.epub;Sea and Adventure;Hutcheson| John C.
Phyllis of Philistia;pg2155.epub;Literary;Moore| Frank Frankfort
Rattlin the Reefer;pg21578.epub;Sea and Adventure;Howard| Edward
On the Stairs;pg21613.epub;Literary;Fuller| Henry Blake
April's Lady: A Novel;pg21641.epub;Literary;Duchess|
The Making of a Soul;pg21674.epub;Literary;Rhodes| Kathlyn
The Tyranny of Weakness;pg21689.epub;Literary;Buck| Charles Neville
Flint: His Faults- His Friendships and His Fortunes;pg21690.epub;Literary;Goodwin| Maud Wilder
Agatha's Husband: A Novel;pg21767.epub;Literary;Craik| Dinah Maria Mulock
The Mark Of Cain;pg21821.epub;Literary;Lang| Andrew
The Daughters of Danaus;pg21858.epub;Literary;Caird| Mona
Afterwards;pg21867.epub;Literary;Rhodes| Kathlyn
Luna Benamor;pg21870.epub;Literary;Ibez| Vicente Blasco
Blacksheep! Blacksheep!;pg21887.epub;Sea and Adventure;Nicholson| Meredith
Embarrassments;pg21932.epub;Literary;James| Henry
The Pleasant Street Partnership: A Neighborhood Story;pg21944.epub;Literary;Leonard| Mary Finley
The Lure of the Mask;pg22158.epub;Literary;MacGrath| Harold
Aunt Rachel - A Rustic Sentimental Comedy;pg22202.epub;Literary;Murray| David Christie
In Direst Peril;pg22205.epub;Literary;Murray| David Christie
An Old Meerschaum - From Coals Of Fire And Other Stories- Volume II. (of III.);pg22206.epub;Literary;Murray| David Christie
The Romance Of Giovanni Calvotti - From Coals Of Fire And Other Stories- Volume II. (of III.);pg22207.epub;Literary;Murray| David Christie
Cruel Barbara Allen - From Coals Of Fire And Other Stories- Volume II. (of III.);pg22208.epub;Literary;Murray| David Christie
Molly Bawn;pg22214.epub;Literary;Duchess| 
Oswald Langdon - Pierre and Paul Lanier. A Romance of 1894-1898;pg22221.epub;Literary;Hamilton| Levi Jackson
Schwartz: A History - From "Schwartz" by David Christie Murray;pg22271.epub;Literary;Murray| David Christie
Young Mr. Barter's Repentance - From "Schwartz" by David Christie Murray;pg22272.epub;Literary;Murray| David Christie
Bulldog And Butterfly - From "Schwartz" by David Christie Murray;pg22273.epub;Literary;Murray| David Christie
Julia And Her Romeo: A Chronicle Of Castle Barfield - From "Schwartz" by David Christie Murray;pg22274.epub;Literary;Murray| David Christie
VC — A Chronicle of Castle Barfield and of the Crimea;pg22275.epub;Literary;Murray| David Christie
Despair's Last Journey;pg22276.epub;Literary;Murray| David Christie
The Tale Of Mr. Peter Brown - Chelsea Justice - From "The New Decameron"|| Volume III.;pg22476.epub;Literary;Sackville-West| Vita
Mary Louise and Josie O'Gorman;pg22532.epub;Literary;Sampson| Emma Speed
King Candaules;pg22660.epub;Literary;Gautier| Thophile
32 Caliber;pg22781.epub;Literary;McGibeny| Donald
Havoc;pg2287.epub;Detective and Mystery;Oppenheim| E. Phillips
Doctor Luttrell's First Patient;pg22883.epub;Love and Romance;Carey| Rosa Nouchette
Nell- of Shorne Mills- One Heart's Burden;pg22961.epub;Literary;Garvice| Charles
A Modern Idyll;pg23009.epub;Literary;Harris| Frank
Gulmore- The Boss;pg23010.epub;Literary;Harris| Frank
Elder Conklin;pg23012.epub;Literary;Harris| Frank
Helen and Arthur- Miss Thusa's Spinning Wheel;pg23106.epub;Literary;Hentz| Caroline Lee
A Chinese Command: A Story of Adventure in Eastern Seas;pg23118.epub;Sea and Adventure;Collingwood| Harry
Other People's Business: The Romantic Career of the Practical Miss Dale;pg23157.epub;Literary;Smith| Harriet L.
Old Ebenezer;pg23215.epub;Literary;Read| Opie Percival
The Fête At Coqueville - 1907;pg23222.epub;Literary;Zola| ile
Good Blood;pg23223.epub;Literary;Wildenbruch| Ernst von
Mistress Anne;pg23246.epub;Literary;Bailey| Temple
The Folly Of Eustace - 1896;pg23420.epub;Literary;Hichens| Robert
The Man Next Door;pg23606.epub;Literary;Hough| Emerson
The Riddle Of The Rocks - 1895;pg23629.epub;Literary;Murfree| Mary Noailles
The Phantoms Of The Foot-Bridge - 1895;pg23630.epub;Literary;Murfree| Mary Noailles
The Moonshiners At Hoho-Hebee Falls - 1895;pg23631.epub;Literary;Murfree| Mary Noailles
'way Down In Lonesome Cove - 1895;pg23632.epub;Literary;Murfree| Mary Noailles
His "Day In Court" - 1895;pg23633.epub;Literary;Murfree| Mary Noailles
Flamsted quarries;pg23664.epub;Literary;Waller| Mary E.
The Dew of Their Youth;pg23736.epub;Literary;Crockett| S. R.
David Malcolm;pg23741.epub;Literary;Lloyd| Nelson
Aladdin & Co.: A Romance of Yankee Magic;pg23745.epub;Literary;Quick| Herbert
Cruel As The Grave;pg23789.epub;Literary;Southworth| Emma Dorothy Eliza Nevitte
A True Friend: A Novel;pg23797.epub;Literary;Sergeant| Adeline
The Opal Serpent;pg24769.epub;Detective and Mystery;Hume| Fergus
The Book of All-Power;pg24920.epub;Literary;Wallace| Edgar
The Kingdom Round the Corner: A Novel;pg25702.epub;Literary;Ashford| Angela| Ashford| Daisy
An Apostate: Nawin of Thais;pg25730.epub;Literary;Dawson| Coningsby
Her Mother's Secret;pg26259.epub;Literary;Hume| Fergus
Margarita's Soul: The Romantic Recollections of a Man of Fifty;pg26277.epub;Literary;Southworth| Emma Dorothy Eliza Nevitte
Simon;pg26306.epub;Detective and Mystery;Bacon| Josephine Daskam
Madeline Payne- the Detective's Daughter;pg26482.epub;Detective and Mystery;Lynch| Lawrence L.
Burlesques;pg2675.epub;Literary;Lynch| Lawrence L.
Ringfield: A Novel;pg26768.epub;Literary;Thackeray| William Makepeace
A Red Wallflower;pg26828.epub;Literary;Harrison| S. Frances
A Pessimist in Theory and Practice;pg26847.epub;Literary;Warner| Susan
The Bradys Beyond Their Depth- The Great Swamp Mystery;pg26925.epub;Detective and Mystery;Bird| Frederic Mayer
Bird of Paradise;pg27323.epub;Literary;Seltzer| Charles Alden
The Giant's Robe;pg27507.epub;Literary;Sabin| Edwin L.
The Seven Secrets;pg27549.epub;Detective and Mystery;Anstey| F.
Five O'Clock Tea: Farce;pg27709.epub;Literary;Queux| William Le
A Bachelor's Dream;pg27838.epub;Literary;Howells| William Dean
The Dominant Dollar;pg27857.epub;Literary;Duchess|
Dick Leslie's Luck: A Story of Shipwreck and Adventure;pg27909.epub;Sea and Adventure;Lillibridge| Will
Anderson Crow- Detective;pg28229.epub;Detective and Mystery;Morris| Gouverneur
A Romantic Young Lady;pg28236.epub;Literary;McCutcheon| George Barr
The Beloved Woman;pg28301.epub;Literary;Grant| Robert
In Brief Authority;pg28459.epub;Literary;Norris| Kathleen Thompson
Not Like Other Girls;pg28463.epub;Literary;Anstey| F.
The Limit;pg28465.epub;Literary;Leverson| Ada
The Brass Bound Box;pg28509.epub;Literary;Raymond| Evelyn
Wee Wifie;pg28717.epub;Literary;Carey| Rosa Nouchette
Lover or Friend;pg28925.epub;Literary;Carey| Rosa Nouchette
Chit-Chat; Nirvana; The Searchlight;pg29071.epub;Literary;Holt| Mathew Joseph
Cleo The Magnificent- The Muse of the Real: A Novel;pg29207.epub;Literary;Zangwill| Louis
The First Violin - A Novel;pg29219.epub;Literary;Fothergill| Jessie
People of Position;pg29274.epub;Literary;Hyatt| Stanley Portal
Australia Revenged;pg29315.epub;Literary;Boomerang|
An Old Sailor's Yarns;pg29323.epub;Sea and Adventure;Ames| N.
The Prisoner;pg29366.epub;Literary;Brown| Alice
Murder Point: A Tale of Keewatin;pg29400.epub;Detective and Mystery;Dawson| Coningsby
Rope;pg29570.epub;Literary;Hall| Holworthy
Once to Every Man;pg29646.epub;Literary;Evans| Larry
Mixed Faces;pg29657.epub;Literary;Norton| Roy
Nobody;pg29671.epub;Literary;Vance| Louis Joseph
The Hound From The North;pg29695.epub;Literary;Cullum| Ridgwell
The Heart of Thunder Mountain;pg29697.epub;Literary;Bingham| Edfrid A.
Hetty's Strange History;pg29699.epub;Literary;Jackson| Helen Hunt
The Princess Virginia;pg29715.epub;Literary;Williamson| A. M.| Williamson| C. N.
The Strollers;pg29726.epub;Literary;Isham| Frederic Stewart
Victor's Triumph - Sequel to A Beautiful Fiend;pg29729.epub;Literary;Southworth| Emma Dorothy Eliza Nevitte
The Missionary;pg29743.epub;Literary;Griffith| George Chetwynd
The Gorgeous Girl;pg29753.epub;Literary;Bartley| Nalbro
The Dominant Strain;pg29760.epub;Literary;Ray| Anna Chapin
Audrey Craven;pg29766.epub;Literary;Sinclair| May
The Man Who Wins;pg29808.epub;Literary;Herrick| Robert
The Paliser case;pg29847.epub;Literary;Saltus| Edgar
Dwellers in the Hills;pg29851.epub;Literary;Post| Melville Davisson
A Great Man: A Frolic;pg29860.epub;Literary;Bennett| Arnold
The Old Countess- The Two Proposals;pg29862.epub;Literary;Stephens| Ann S.
Love and Lucy;pg29868.epub;Literary;Hewlett| Maurice
The Crimson Tide: A Novel;pg29880.epub;Literary;Chambers| Robert W.
The Doctor's Family;pg29890.epub;Literary;Oliphant| Mrs.
The Rector;pg29891.epub;Literary;Oliphant| Mrs.
Changing Winds - A Novel;pg29902.epub;Literary;Ervine| St. John G.
Jan and Her Job;pg29945.epub;Literary;Harker| L. Allen
The Eye of Dread;pg30031.epub;Literary;Erskine| Payne
In the Shadow of the Hills;pg30037.epub;Literary;Shedd| George C.
Jessica- the Heiress;pg30074.epub;Literary;Raymond| Evelyn
Our Next-Door Neighbors;pg30075.epub;Literary;Maniates| Belle Kanaris
Amaryllis at the Fair;pg30087.epub;Literary;Jefferies| Richard
Young Barbarians;pg30089.epub;Literary;Maclaren| Ian
Robinetta;pg30090.epub;Literary;Findlater| Jane Helen| Findlater| Mary| McAulay| Allan| Wiggin| Kate Douglas Smith
At the Crossroads;pg30095.epub;Literary;Comstock| Harriet T.
The Vast Abyss - The Story of Tom Blount- his Uncles and his Cousin Sam;pg30106.epub;Literary;Fenn| George Manville
The Quality of Mercy;pg30108.epub;Literary;Howells| William Dean
Name and Fame: A Novel;pg30110.epub;Literary;Sergeant| Adeline
A Noble Woman;pg30111.epub;Literary;Stephens| Ann S.
Tante;pg30115.epub;Literary;Sedgwick| Anne Douglas
Daisy Brooks- A Perilous Love;pg30137.epub;Sea and Adventure;Libbey| Laura Jean
A Manual of the Art of Fiction;pg30183.epub;Literary;Hamilton| Clayton Meeker
East of the Shadows;pg30193.epub;Literary;Barclay| Mrs. Hubert
Officer 666;pg30228.epub;Literary;Currie| Barton Wood| McHugh| Augustin
Phemie Frost's Experiences;pg30245.epub;Literary;Stephens| Ann S.
Mabel's Mistake;pg30247.epub;Literary;Stephens| Ann S.
A Captain in the Ranks: A Romance of Affairs;pg30263.epub;Literary;Eggleston| George Cary
The Phantom Lover;pg30286.epub;Literary;Ayres| Ruby M.
The Benefactress;pg30302.epub;Literary;Arnim| Elizabeth Von
Hope Mills- Between Friend and Sweetheart;pg30436.epub;Literary;Douglas| Amanda M.
The Lieutenant-Governor: A Novel;pg30448.epub;Literary;Carryl| Guy Wetmore
A Manifest Destiny;pg30464.epub;Literary;Magruder| Julia
Wild Oranges;pg30466.epub;Literary;Hergesheimer| Joseph
Outside Inn;pg30483.epub;Literary;Kelley| Ethel M.
The Count's Millions;pg305.epub;Detective and Mystery;Gaboriau| Emile
The Pines of Lory;pg30600.epub;Literary;Mitchell| John Ames
A Danish Parsonage;pg30617.epub;Literary;Vicary| John Fulford
Wings of the Wind;pg30618.epub;Literary;Harris| Credo Fitch
In the Heart of a Fool;pg30627.epub;Literary;White| William Allen
Anything Once;pg30640.epub;Literary;Ostrander| Isabel
